date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_sanders_d,pro_trump_d,pro_cruz_d,pro_kasich_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d,date_group
2016-10-10,ad_id_fac63,0.1251589677988677,0.11524636589653967,-1.0860122731438395,0.2777395350598653,0.3513158716573166,-0.10099793605958116,984,favorDT_rev,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.77344284736482,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.2883250772437407,0.06425356698266779,0.060356724156157865,25
2016-10-17,ad_id_fac68,0.17304645417877978,0.13423467138220363,-1.2891338161514783,0.19775438613616095,0.43657259404049414,-0.09047968568293457,740,favorDT_rev,68,America's Bullies,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.79260780287474,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.3074900327536625,0.06425356698266779,0.06750297875307787,26
2016-10-24,ad_id_fac70,0.21708099484967444,0.1449070838197165,-1.4980702746026673,0.1345478557282104,0.501565979371484,-0.06740398967213504,729,favorDT_rev,70,Captain Khan,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.81177275838467,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.3266549882635914,0.06425356698266779,0.07464923335000051,27
2016-10-31,ad_id_fac71,0.4320260038901801,0.14274925361316265,-3.0264676904086016,0.002559976977982519,0.7122671384560952,0.15178486932426494,741,favorDT_rev,71,Example,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.83093771389459,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.3458199437735132,0.06425356698266779,0.0817954879469205,28
2016-10-31,ad_id_fac72,-0.3125749963930958,0.14389403914611207,-2.1722581299959387,0.030152558186300214,-0.595063540234143,-0.03008645255204867,741,favorDT_rev,72,Consumer Benefit,Pro Trump,trump,TRUE,FALSE,target_candidate,0,1,0,0,0,0,1,0,0,46.83093771389459,-0.6271186440677966,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,0.943502824858757,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,0.3458199437735132,-0.4385712917743943,-0.26402445582659273,28
2016-11-07,ad_id_fac77,-0.0033731366356977294,0.14476247896822567,0.023301180386929604,0.9814163287828338,0.28082219272513914,-0.2875684659965346,738,favorDT_rev,77,Daughters,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.85010266940452,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.36498489928344213,0.06425356698266779,0.08894174254384317,29
2016-03-21,ad_id_fac9,-0.12167732572221146,0.1451701051659121,-0.8381706797218945,0.40220807721307084,-0.4066760935869156,0.16332144214249267,733,favorHC_rev,9,Real Life,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,0,1,0,0,0,0,0,0,46.217659137577,-0.6271186440677966,-0.4971751412429379,0.847457627118644,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,-0.2674586325440771,0.1885473522934023,0.12057397338952323,2
2016-03-28,ad_id_fac12,0.19024190045701972,0.15550007120320203,1.2234200215150917,0.22156316998132763,-0.11503534103843682,0.49551914195247626,735,favorHC_rev,12,All the Good,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,0,1,0,0,0,0,0,0,46.23682409308692,-0.6271186440677966,-0.4971751412429379,0.847457627118644,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,-0.24829367703415528,0.1885473522934023,0.10855527247652143,3
2016-04-05,ad_id_fac9,0.08437508042687569,0.14848798556197618,0.5682283324643735,0.5700537225225001,-0.20713671206526252,0.3758868729190139,734,favorHC_rev,9,Real Life,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,0,1,0,0,0,0,0,0,46.25872689938399,-0.6271186440677966,-0.4971751412429379,0.847457627118644,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,-0.22639087073709163,0.1885473522934023,0.09481961429022727,4
2016-04-11,ad_id_fac18,0.17845620722883848,0.1579227608683178,1.1300220832489263,0.25884063110088945,-0.13158430427442824,0.4884967187321052,725,favorHC_rev,18,I'm with him,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,0,1,0,0,0,0,0,0,46.275154004106774,-0.6271186440677966,-0.4971751412429379,0.847457627118644,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,-0.20996376601430455,0.1885473522934023,0.08451787065051335,5
