pid_3_pre,battleground,date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_trump_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d,pro_democrat,pro_republican,democrat,republican,independent,pro_democrat_d,pro_republican_d,democrat_d,republican_d,independent_d,battleground_d,ad_match
Independent,0,2016-09-19,ad_id_fac75,-0.08295637985292237,0.21130588264436923,0.39258906952694317,0.695551272850677,0.3368396374975841,-0.5027523972034289,90,general_vote_DT,75,Families,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,550.4193548387096,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.3586337760910965,0,0.011329389440785938,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-09-26,ad_id_fac63,0.2274501015932295,0.19620162296005397,-1.1592671771096288,0.250654276545651,0.6194079020057884,-0.16450769881932945,64,general_vote_DT,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,550.6451612903226,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.5844402277040217,0,0.03789485433642421,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-10-03,ad_id_fac66,0.2379012857834426,0.1871103572834486,-1.2714490487720684,0.2080314181175635,0.6114791675530307,-0.1356765959861454,66,general_vote_DT,66,Arrogant,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,550.8709677419355,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.8102466793169469,0,0.06446031923206247,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-10-10,ad_id_fac8,0.052529784439687324,0.15665708910182255,-0.3353169954890742,0.7382747812048752,0.36434792037645,-0.25928835149707535,79,general_vote_DT,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,551.0967741935484,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,1,0.8235294117647058,1.0360531309298722,0,0.09102578412770074,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-10-10,ad_id_fac63,0.06812510876341407,0.15749655481156702,-0.4325498347879465,0.66652035563845,0.38161415939861865,-0.24536394187179048,79,general_vote_DT,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,551.0967741935484,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,1.0360531309298722,0,0.09102578412770074,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-10-17,ad_id_fac68,-0.2012242029747225,0.18092015723215002,1.112226553708546,0.27026699301741886,0.16031588218151005,-0.562764288130955,63,general_vote_DT,68,America's Bullies,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,551.3225806451613,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,1.2618595825427974,0,0.117591249023339,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-10-24,ad_id_fac70,-0.04788378627435515,0.24544780448444858,0.1950874499567546,0.8458664469873408,0.4412929826191259,-0.5370605551678362,73,general_vote_DT,70,Captain Khan,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,551.5483870967741,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,1.487666034155609,0,0.1441567139189639,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-10-31,ad_id_fac71,-0.11065126547804234,0.16999017533087107,0.6509274154383881,0.5174605290557595,0.22904699371584653,-0.4503495246719312,63,general_vote_DT,71,Example,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,551.7741935483871,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,1.7134724857685342,0,0.17072217881460217,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
Independent,0,2016-10-31,ad_id_fac72,-0.21383494923913438,0.23382915168243562,-0.9144922594148763,0.3639451391829245,-0.6811052230693775,0.2534353245911088,63,general_vote_DT,72,Consumer Benefit,Pro Trump,trump,TRUE,FALSE,target_candidate,0,1,0,0,0,0,1,0,0,551.7741935483871,-0.8823529411764706,0,-0.058823529411764705,0.9411764705882353,-0.3235294117647059,-0.5588235294117647,0,-0.17647058823529413,1.7134724857685342,-0,-1.5427503069539321,0,1,0,0,1,-0.6176470588235294,0.6176470588235294,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Republican ad"
Independent,0,2016-11-07,ad_id_fac77,-0.13518571699867604,0.17112034750227842,0.7900037545031053,0.43198361742836666,0.20562999207448862,-0.4760014260718407,76,general_vote_DT,77,Daughters,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,552,0.11764705882352944,0,-0.058823529411764705,-0.058823529411764705,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,1.9392789373814594,0,0.19728764371024043,1,0,0,0,1,0.38235294117647056,-0.38235294117647056,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-0.5,"Independent respondents, pro-Democratic ad"
