date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_sanders_d,pro_trump_d,pro_cruz_d,pro_kasich_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d
2016-06-20,ad_id_fac33,0.01489715593376506,0.026580610641945054,-0.5604519826289044,0.5752344947433787,0.06702601306284374,-0.03723170119531362,1983,general_vote_DT,33,Speak,Anti Trump,priorities usa,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.46680355920602,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,1,0.8235294117647058,-0.21870596287796928,0,-0.028349544915200656
2016-07-04,ad_id_fac44,0.023327852754217893,0.03182321630248943,-0.7330450992910176,0.46361756623671524,0.08573830367901453,-0.03908259817057874,1983,general_vote_DT,44,Tested,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.50513347022587,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.18037605185811856,0,-0.023840143618747627
2016-07-18,ad_id_fac47,0.024991692096569443,0.02983002832809427,-0.8378031633658214,0.4022423286522463,0.08349321655801181,-0.03350983236487293,1981,general_vote_DT,47,Role Model,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.54346338124572,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.14204614083826783,0,-0.0193307423222946
2016-08-01,ad_id_fac50,0.042367538392544396,0.024577913978630295,-1.7238053005385896,0.08489823461904376,0.09056866663312563,-0.005833589848036835,1991,general_vote_DT,50,Someplace,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.58179329226557,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.1037162298184171,0,-0.014821341025841574
2016-08-15,ad_id_fac47,0.06865299289139364,0.029599069033431607,-2.319430817700764,0.020472766839958752,0.12670151504968447,0.010604470733102812,1984,general_vote_DT,47,Role Model,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.620123203285424,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.06538631879856638,0,-0.010311939729388545
2016-08-15,ad_id_fac54,0.03633787477554405,0.030070140690447063,-1.2084371386758486,0.22702317101839095,0.095310244014617,-0.0226344944635289,1984,general_vote_DT,54,Unfit,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.620123203285424,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.06538631879856638,0,-0.010311939729388545
2016-08-29,ad_id_fac59,-0.04889426190847011,0.039608525159258313,1.234437831549537,0.21733243147319076,0.028831950327568315,-0.12662047414450855,991,general_vote_DT,59,Everything,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.65845311430527,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.027056407778722757,0,-0.005802538432936354
2016-09-05,ad_id_fac60,-0.04987456232887326,0.04282132919907001,1.1647130825158138,0.2444162960201439,0.034156642220635816,-0.13390576687838235,988,general_vote_DT,60,Sacrifice,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.677618069815196,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.007891452268793842,0,-0.003547837784709422
2016-09-05,ad_id_fac99,0.005348220819737959,0.04136767997080279,-0.12928500760769568,0.897158447962966,0.08652683069438553,-0.07583038905490962,988,general_vote_DT,99,Sacrifice,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.677618069815196,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,-0.007891452268793842,0,-0.003547837784709422
2016-09-12,ad_id_fac62,0.049076065250172704,0.039333326219765305,-1.247696799807172,0.21243745192223573,0.12626242877531105,-0.02811029827496564,989,general_vote_DT,62,Agree,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.69678302532512,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,-0.3235294117647059,0.4411764705882353,0,-0.17647058823529413,0.011273503241127969,0,-0.001293137136483326
