pid_3_pre,battleground,date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_sanders_d,pro_trump_d,pro_cruz_d,pro_kasich_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d,pro_democrat,pro_republican,democrat,republican,independent,pro_democrat_d,pro_republican_d,democrat_d,republican_d,independent_d,battleground_d,ad_match,date_group
Democrat,0,2016-08-01,ad_id_fac50,0.13875238897633094,0.1512503239551062,-0.9173692019166525,0.3593527591158423,0.4358537574221766,-0.15834897946951468,548,favorDT_rev,50,Someplace,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,548.8387096774194,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,1.1390559504283146,0.06425356698266779,-0.13085165861990383,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",16
Democrat,0,2016-08-15,ad_id_fac47,0.11240498563828165,0.15581221606563525,-0.7214131759151126,0.4709368262871574,0.4184096215492123,-0.19359965027264897,599,favorDT_rev,47,Role Model,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,549.2903225806451,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,1.5906688536540514,0.06425356698266779,0.037546373091387863,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",17
Democrat,0,2016-08-15,ad_id_fac54,0.31732710075033965,0.1384621737173971,-2.2917963240849297,0.022263467624049876,0.589257428972999,0.04539677252768021,599,favorDT_rev,54,Unfit,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,549.2903225806451,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,1.5906688536540514,0.06425356698266779,0.037546373091387863,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",17
Democrat,0,2016-08-29,ad_id_fac59,-0.1142479144823273,0.19966113856777623,0.572209070337166,0.5676427675626026,0.2787918202038001,-0.5072876491684547,278,favorDT_rev,59,Everything,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,549.741935483871,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,2.042281756879902,0.06425356698266779,0.20594440480272191,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",19
Democrat,0,2016-09-05,ad_id_fac60,0.020590597781280084,0.2508830961461252,-0.08207247956349847,0.9346607668977278,0.5149249511981364,-0.47374375563557625,229,favorDT_rev,60,Sacrifice,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,549.9677419354839,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,2.268088208492827,0.06425356698266779,0.29014342065838894,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",20
Democrat,0,2016-09-05,ad_id_fac99,0.20333733409264362,0.1882803596446955,-1.079971030841253,0.28129118808107895,0.5743206776330299,-0.16764600944774263,229,favorDT_rev,99,Sacrifice,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,549.9677419354839,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,2.268088208492827,0.06425356698266779,0.29014342065838894,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",20
Democrat,0,2016-09-12,ad_id_fac62,0.10122599376676857,0.13182888774040985,-0.7678589685600412,0.4432111834867162,0.3607155933811765,-0.15826360584763938,283,favorDT_rev,62,Agree,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,550.1935483870968,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,2.4938946601057523,0.06425356698266779,0.37434243651405597,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",21
Democrat,0,2016-09-19,ad_id_fac74,-0.030630716725014356,0.23239986384057723,-0.13180178429892095,0.8952334247131591,-0.48805502854709704,0.4267935950970684,287,favorDT_rev,74,Movement,Pro Trump,trump,TRUE,FALSE,target_candidate,0,1,0,0,0,0,1,0,0,550.4193548387096,-0.6271186440677966,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,0.943502824858757,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,2.719701111718564,-0.4385712917743943,-2.261159659348883,0,1,1,0,0,-0.7005649717514124,0.7005649717514124,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Republican ad",22
Democrat,0,2016-09-19,ad_id_fac75,-0.0922727128402643,0.2441876750683903,0.377876208594153,0.7058018724003672,0.3883531247902408,-0.5728985504707694,287,favorDT_rev,75,Families,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,550.4193548387096,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,2.719701111718564,0.06425356698266779,0.4585414523696806,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",22
Democrat,0,2016-09-26,ad_id_fac63,0.18173865584560978,0.2072421832001582,-0.8769385317181462,0.38150800773615023,0.5902469629147356,-0.22676965122351594,213,favorDT_rev,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,550.6451612903226,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,2.945507563331489,0.06425356698266779,0.5427404682253477,1,0,1,0,0,0.2994350282485876,-0.2994350282485876,0.6666666666666667,-0.3333333333333333,-0.3333333333333333,-0.5,"Democratic respondents, pro-Democratic ad",23
