subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
556,2,75,1,1,NA,3,NA,NA,naive,naive,naive,NA,NA,NA,0,NA,5,control
556,2,75,1,1,NA,3,NA,NA,naive,naive,naive,NA,NA,NA,0,NA,5,control
557,2,53,3,NA,NA,3,NA,NA,single_best,control,targeting,NA,NA,cov_profile_2,0,0,1,control
557,2,53,3,NA,NA,3,NA,NA,single_best,control,targeting,NA,NA,cov_profile_2,1,NA,7,control
557,2,53,3,NA,NA,3,NA,NA,single_best,control,targeting,NA,NA,cov_profile_2,0,NA,6,control
558,2,32,2,NA,1,3,NA,NA,targeting,control,targeting,cov_profile_1,NA,cov_profile_3,1,0,4,control
558,2,32,2,NA,1,3,NA,NA,targeting,control,targeting,cov_profile_1,NA,cov_profile_3,1,NA,5,control
558,2,32,2,NA,1,3,NA,NA,targeting,control,targeting,cov_profile_1,NA,cov_profile_3,0,NA,4,control
559,1,42,2,NA,1,2,NA,1,naive,single_best,single_best,NA,NA,NA,0,0,3,control
559,1,42,2,NA,1,2,NA,1,naive,single_best,single_best,NA,NA,NA,0,NA,1,control
559,1,42,2,NA,1,2,NA,1,naive,single_best,single_best,NA,NA,NA,0,NA,4,control
560,2,51,1,1,NA,1,1,NA,targeting,single_best,targeting,cov_profile_1,NA,cov_profile_1,1,0,5,control
560,2,51,1,1,NA,1,1,NA,targeting,single_best,targeting,cov_profile_1,NA,cov_profile_1,1,NA,2,control
560,2,51,1,1,NA,1,1,NA,targeting,single_best,targeting,cov_profile_1,NA,cov_profile_1,0,NA,7,control
561,2,41,3,NA,NA,3,NA,NA,single_best,targeting,single_best,NA,cov_profile_1,NA,0,1,4,video
561,2,41,3,NA,NA,3,NA,NA,single_best,targeting,single_best,NA,cov_profile_1,NA,0,NA,1,video
561,2,41,3,NA,NA,3,NA,NA,single_best,targeting,single_best,NA,cov_profile_1,NA,1,NA,7,video
562,2,61,2,NA,2,1,2,NA,single_best,targeting,targeting,NA,cov_profile_3,cov_profile_2,0,0,4,control
562,2,61,2,NA,2,1,2,NA,single_best,targeting,targeting,NA,cov_profile_3,cov_profile_2,1,NA,7,control
562,2,61,2,NA,2,1,2,NA,single_best,targeting,targeting,NA,cov_profile_3,cov_profile_2,1,NA,6,control
563,2,66,2,NA,1,2,NA,1,targeting,targeting,targeting,cov_profile_3,cov_profile_3,cov_profile_1,1,1,3,video
563,2,66,2,NA,1,2,NA,1,targeting,targeting,targeting,cov_profile_3,cov_profile_3,cov_profile_1,1,NA,7,video
563,2,66,2,NA,1,2,NA,1,targeting,targeting,targeting,cov_profile_3,cov_profile_3,cov_profile_1,1,NA,3,video
564,2,58,3,NA,NA,3,NA,NA,targeting,targeting,targeting,cov_profile_3,cov_profile_1,cov_profile_2,1,0,1,control
564,2,58,3,NA,NA,3,NA,NA,targeting,targeting,targeting,cov_profile_3,cov_profile_1,cov_profile_2,1,NA,7,control
564,2,58,3,NA,NA,3,NA,NA,targeting,targeting,targeting,cov_profile_3,cov_profile_1,cov_profile_2,1,NA,1,control
565,2,39,3,NA,NA,3,NA,NA,single_best,targeting,control,NA,cov_profile_3,NA,0,1,3,video
565,2,39,3,NA,NA,3,NA,NA,single_best,targeting,control,NA,cov_profile_3,NA,0,NA,4,video
565,2,39,3,NA,NA,3,NA,NA,single_best,targeting,control,NA,cov_profile_3,NA,1,NA,4,video
566,2,66,3,NA,NA,3,NA,NA,targeting,single_best,control,cov_profile_1,NA,NA,1,0,5,control
566,2,66,3,NA,NA,3,NA,NA,targeting,single_best,control,cov_profile_1,NA,NA,0,NA,7,control
566,2,66,3,NA,NA,3,NA,NA,targeting,single_best,control,cov_profile_1,NA,NA,0,NA,7,control
567,2,59,1,1,NA,3,NA,NA,targeting,targeting,naive,cov_profile_1,cov_profile_2,NA,1,0,4,control
